x,y,count,duration_ms,start_ms,end_ms,duration_s,start_s,end_s,type
193.0,246.0,13,100,0,100,0.1,0.0,0.1,fixation
114.0,205.0,8,58,167,225,0.058,0.167,0.225,fixation
118.0,119.0,15,117,350,467,0.117,0.35,0.467,fixation
155.0,168.0,25,200,484,684,0.2,0.484,0.684,fixation
141.0,139.0,14,108,859,967,0.108,0.859,0.967,fixation
61.0,101.0,34,275,1258,1533,0.275,1.258,1.533,fixation
121.0,112.0,36,292,1575,1867,0.292,1.575,1.867,fixation
164.0,163.0,10,75,2142,2217,0.075,2.142,2.217,fixation
120.0,165.0,11,84,2458,2542,0.084,2.458,2.542,fixation
128.0,117.0,30,241,2692,2933,0.241,2.692,2.933,fixation
75.0,128.0,50,408,3042,3450,0.408,3.042,3.45,fixation
115.0,119.0,10,75,3716,3791,0.075,3.716,3.791,fixation
203.0,194.0,9,67,3858,3925,0.067,3.858,3.925,fixation
181.0,120.0,32,259,4216,4475,0.259,4.216,4.475,fixation
211.0,113.0,49,400,4508,4908,0.4,4.508,4.908,fixation
250.0,120.0,89,733,5058,5791,0.733,5.058,5.791,fixation
42.0,103.0,9,67,5833,5900,0.067,5.833,5.9,fixation
45.0,106.0,8,58,5925,5983,0.058,5.925,5.983,fixation
64.0,131.0,12,92,6008,6100,0.092,6.008,6.1,fixation
163.0,148.0,34,275,6125,6400,0.275,6.125,6.4,fixation
198.0,132.0,11,83,6533,6616,0.083,6.533,6.616,fixation
167.0,150.0,12,91,6658,6749,0.091,6.658,6.749,fixation
162.0,140.0,26,209,6774,6983,0.209,6.774,6.983,fixation
208.0,152.0,23,183,7008,7191,0.183,7.008,7.191,fixation
230.0,117.0,11,83,7358,7441,0.083,7.358,7.441,fixation
238.0,124.0,16,125,7466,7591,0.125,7.466,7.591,fixation
236.0,126.0,56,458,7666,8124,0.458,7.666,8.124,fixation
267.0,133.0,42,342,8141,8483,0.342,8.141,8.483,fixation
121.0,174.0,30,242,8524,8766,0.242,8.524,8.766,fixation
225.0,162.0,20,158,8791,8949,0.158,8.791,8.949,fixation
254.0,120.0,32,259,8974,9233,0.259,8.974,9.233,fixation
147.0,176.0,10,75,9274,9349,0.075,9.274,9.349,fixation
114.0,178.0,16,125,9508,9633,0.125,9.508,9.633,fixation
90.0,195.0,56,458,9841,10299,0.458,9.841,10.299,fixation
144.0,187.0,32,258,10324,10582,0.258,10.324,10.582,fixation
204.0,237.0,8,58,10616,10674,0.058,10.616,10.674,fixation
198.0,204.0,10,75,10766,10841,0.075,10.766,10.841,fixation
188.0,215.0,9,67,11007,11074,0.067,11.007,11.074,fixation
166.0,175.0,24,191,11091,11282,0.191,11.091,11.282,fixation
135.0,181.0,24,192,11307,11499,0.192,11.307,11.499,fixation
155.0,221.0,44,359,11532,11891,0.359,11.532,11.891,fixation
163.0,217.0,42,341,11916,12257,0.341,11.916,12.257,fixation
106.0,267.0,35,283,12299,12582,0.283,12.299,12.582,fixation
159.0,261.0,49,399,12616,13015,0.399,12.616,13.015,fixation
220.0,133.0,17,133,13299,13432,0.133,13.299,13.432,fixation
139.0,268.0,49,400,13474,13874,0.4,13.474,13.874,fixation
113.0,263.0,47,383,13899,14282,0.383,13.899,14.282,fixation
164.0,277.0,33,267,14340,14607,0.267,14.34,14.607,fixation
158.0,261.0,66,542,14632,15174,0.542,14.632,15.174,fixation
109.0,288.0,48,392,15207,15599,0.392,15.207,15.599,fixation
137.0,276.0,89,733,15624,16357,0.733,15.624,16.357,fixation
131.0,287.0,18,141,16532,16673,0.141,16.532,16.673,fixation
124.0,362.0,14,108,16715,16823,0.108,16.715,16.823,fixation
73.0,356.0,24,191,16932,17123,0.191,16.932,17.123,fixation
88.0,364.0,16,125,17148,17273,0.125,17.148,17.273,fixation
183.0,370.0,60,491,17357,17848,0.491,17.357,17.848,fixation
73.0,329.0,8,59,18198,18257,0.059,18.198,18.257,fixation
31.0,325.0,23,183,18282,18465,0.183,18.282,18.465,fixation
39.0,335.0,31,250,18490,18740,0.25,18.49,18.74,fixation
2111.0,561.0,10,75,18940,19015,0.075,18.94,19.015,fixation
141.0,405.0,16,125,19206,19331,0.125,19.206,19.331,fixation
84.0,322.0,12,92,19481,19573,0.092,19.481,19.573,fixation
42.0,343.0,61,808,19598,20406,0.808,19.598,20.406,fixation
58.0,372.0,30,242,20423,20665,0.242,20.423,20.665,fixation
64.0,373.0,52,425,20856,21281,0.425,20.856,21.281,fixation
122.0,372.0,26,208,21315,21523,0.208,21.315,21.523,fixation
155.0,359.0,31,250,21548,21798,0.25,21.548,21.798,fixation
196.0,357.0,37,299,21840,22139,0.299,21.84,22.139,fixation
227.0,343.0,14,108,22156,22264,0.108,22.156,22.264,fixation
92.0,374.0,8,58,22315,22373,0.058,22.315,22.373,fixation
78.0,372.0,25,200,22681,22881,0.2,22.681,22.881,fixation
74.0,381.0,14,108,22931,23039,0.108,22.931,23.039,fixation
143.0,378.0,42,341,23098,23439,0.341,23.098,23.439,fixation
131.0,369.0,18,141,23498,23639,0.141,23.498,23.639,fixation
162.0,376.0,28,225,23656,23881,0.225,23.656,23.881,fixation
77.0,384.0,44,358,23931,24289,0.358,23.931,24.289,fixation
136.0,396.0,24,191,24323,24514,0.191,24.323,24.514,fixation
110.0,423.0,13,100,24531,24631,0.1,24.531,24.631,fixation
98.0,425.0,111,916,25006,25922,0.916,25.006,25.922,fixation
127.0,412.0,29,234,25947,26181,0.234,25.947,26.181,fixation
158.0,420.0,47,383,26206,26589,0.383,26.206,26.589,fixation
193.0,412.0,26,208,26756,26964,0.208,26.756,26.964,fixation
218.0,412.0,47,383,26981,27364,0.383,26.981,27.364,fixation
104.0,439.0,43,350,27406,27756,0.35,27.406,27.756,fixation
117.0,441.0,39,317,27997,28314,0.317,27.997,28.314,fixation
162.0,452.0,45,366,28339,28705,0.366,28.339,28.705,fixation
119.0,468.0,51,417,28730,29147,0.417,28.73,29.147,fixation
158.0,464.0,21,167,29172,29339,0.167,29.172,29.339,fixation
98.0,519.0,34,275,29364,29639,0.275,29.364,29.639,fixation
79.0,533.0,63,517,29697,30214,0.517,29.697,30.214,fixation
105.0,530.0,13,100,30430,30530,0.1,30.43,30.53,fixation
139.0,531.0,60,492,30555,31047,0.492,30.555,31.047,fixation
94.0,550.0,47,383,31080,31463,0.383,31.08,31.463,fixation
91.0,593.0,45,366,31497,31863,0.366,31.497,31.863,fixation
78.0,599.0,11,84,31913,31997,0.084,31.913,31.997,fixation
155.0,615.0,11,84,32363,32447,0.084,32.363,32.447,fixation
142.0,597.0,23,184,32463,32647,0.184,32.463,32.647,fixation
196.0,603.0,32,258,32680,32938,0.258,32.68,32.938,fixation
219.0,598.0,22,175,33205,33380,0.175,33.205,33.38,fixation
274.0,597.0,43,350,33422,33772,0.35,33.422,33.772,fixation
362.0,599.0,50,408,33813,34221,0.408,33.813,34.221,fixation
89.0,621.0,83,684,34271,34955,0.684,34.271,34.955,fixation
128.0,618.0,38,308,34980,35288,0.308,34.98,35.288,fixation
166.0,613.0,40,325,35313,35638,0.325,35.313,35.638,fixation
189.0,608.0,40,325,35663,35988,0.325,35.663,35.988,fixation
235.0,623.0,14,109,36021,36130,0.109,36.021,36.13,fixation
86.0,616.0,30,242,36171,36413,0.242,36.171,36.413,fixation
120.0,611.0,17,134,36629,36763,0.134,36.629,36.763,fixation
173.0,626.0,25,200,36796,36996,0.2,36.796,36.996,fixation
225.0,625.0,95,783,37021,37804,0.783,37.021,37.804,fixation
72.0,645.0,57,466,37863,38329,0.466,37.863,38.329,fixation
146.0,652.0,35,283,38371,38654,0.283,38.371,38.654,fixation
227.0,652.0,37,299,38688,38987,0.299,38.688,38.987,fixation
250.0,645.0,51,417,39004,39421,0.417,39.004,39.421,fixation
28.0,685.0,72,592,39529,40121,0.592,39.529,40.121,fixation
